timestamp_utc,puuid,tier,old_lp,new_lp,lp_delta
2026-06-25T21:40:40,Fa44HwhfQTIIdCRgggrsInxv0iN30N7-mk1Uay779tkgPtEtPDNJaw5RKRwJkhn-X29JiAeuj2oiag,master,93,63,-30
2026-06-25T21:40:40,wEW0MbTenZVEA6DeBu7wS7rQskTa5YpfeHrzpBH65WrSmESmVcdT_oOGfgpF9Io_uWEKBnxotw-auA,master,46,20,-26
2026-06-25T21:40:40,D1CrwO2izde6KztT-8QrWjG_bUZcRDZ3SsrkT9Su3BJHIApac6T6EDqH-8LtwdqR65nVwFj1aklaXw,master,37,7,-30
2026-06-25T21:40:40,D9oIMlCNvbmnbrElAXPO2gIWpFI-tn4VjM1zJvyrxS04x_ZG2lz9zyHtOz8FZvfxYeWhdJ3oFydgvw,master,37,7,-30
2026-06-25T21:40:40,f4BoTd1_w-syLEFST5edU06Zu-tsj4yEN0V2rXt3TEpKVKcUuL5RrfI42hEDeSLPPHRFlFyavduc1Q,master,32,1,-31
2026-06-25T21:40:40,ZMD-ylfQI3pywWds4c2UFqXGlFdjgQbnjeeqtmDb0FW3GiL-hjTI6lfng9G_pJGPxt8uPPq81BtXew,master,18,0,-18
2026-06-25T21:45:39,lGA5PeF2QhW_9XTzDZ8BTvV2sKpCQAou-8Gtyp52Bdz6fm1FWjQClSGzCwRzc0nMih-xcihGrO44AA,challenger,1698,1667,-31
2026-06-25T21:45:39,1ET9ua_Ki_0O-U8xXL7muZmMOeAMBmxLk4FcF8ok3O1s2KqllD2l4h54Nszl0SFxiJpXX4deGl-PYw,challenger,1146,1176,30
2026-06-25T21:45:39,-ok6p1KmxnosWbByF5z9MiQe4vuqg5Zst6cIedD9CyLESkb05OLVxdBXCabk9tZ8vIerbeE2UeZtVw,challenger,917,948,31
2026-06-25T21:45:39,0anpe51rK3PkEm6TcvGJkDB18rLZu6h0QTL6eBQZqy77ISX7AQcw2z_AyEI0lrXsJZqC2fsVGU3JLQ,challenger,905,936,31
2026-06-25T21:45:39,r1hAmxEiKyZVTfQEjGM1LYeHmqpLYxB__jplhkubGLIqurGHtCohxZYEj72_rHiR_S_Ys6DW2C5j_g,gm,779,811,32
2026-06-25T21:45:39,LZV-AWCc7lWv65rLEenGkY6S8c1_uaZSK-ixn982TDVJ0-krXP9xU-HmaFTPjz0M18myPVKHtiOj_g,gm,715,686,-29
2026-06-25T21:45:39,IXWNZVPGDipiiJa8upVsT-AQ4x-rgocmHRDZ4-01afrw8FWrekqAc1XGVvlAey7BNE0GMSvSJ7FyfQ,gm,533,564,31
2026-06-25T21:45:39,M8XTJONOvXEIM7lLWr0vd3Q6i2suHm5YaPzE5dJ0TAVXns74pw-8OuMMIyjdZcEF0xbkc3YLBtBe6Q,gm,450,420,-30
2026-06-25T21:45:39,QYOSE3ihzWgds1vcCx8clk4QrCL2QpChOWjaDPf3ceKC6tFC-QRaC53YbroPda7tzTkG1sGU_EihHw,master,279,250,-29
2026-06-25T21:45:39,kY2hCv7TbA-mQfZpenPE8lf5PWln4yf8K5tx_lEooXIFklgL3FqlmruI1Kv9YYr9REeEhMzQ9PufDw,master,268,236,-32
2026-06-25T21:45:39,M1nWMDeuwYnPMN6XKPaY9fbWztdAsbTFRqfechY6Y1JZBJbnkqrN0pBKeFgEEZKkpeMVdXtMgRnTow,master,194,225,31
2026-06-25T21:45:39,_5uIUwqlmaFYf1z7rzudFj9Kepq-ogS7Wy8foaqUTmnKTgjJVk_qczt5tgA1AhX58C0iBCpzyOBsAA,master,177,205,28
2026-06-25T21:45:39,h83WbdLpbLOAA9rYhr1ojTpqW2CQOfTXhS8AAvvPeSZGG1xNYbzUjf_Uxobwk8m41p75NSXaqRe41w,master,48,83,35
2026-06-25T21:45:39,2tbev7dnZWR6dX5PKIpn8htpW46ALt6AGns2TX-U78tKbFXVFNZZmi2IoiI3z_ngxGUA2c22uuwUOA,master,0,33,33
2026-06-25T21:45:39,lbq3Jc3ayyV3-w-nvNNjXEPWooP_my9T1ccwGL_cTN6tFLzQRRhQdq2hLKBB5mX-iOxfeS0MtidS7A,master,40,10,-30
