puuid,tier,lp,wins,losses,last_updated_utc
FLq9QUqZjFsWCk0kjonoVWiM8zYiHXJ_8ns168r6eN_oN5hVS0jHz5bDJYWGHt-xjCGEO2F_LI9TTA,challenger,1243,80,52,2026-07-02T10:45:35
y48TSJND73TGc98bR8z8hNSpd-GJM2MPcr3_t3uSGZie2rletVkd1GOmMuE5yH1HKwkhPpoyLJTYEw,challenger,1240,265,226,2026-07-02T10:45:35
CXJNbv1piUi4fR0fYdY9B8Xk3ByKAgsY2igjAa8ixjM8cSzBr9IostdIJmFnYha_0hbn9FMmUd4EHQ,challenger,1232,157,120,2026-07-02T10:45:35
SqNMR4xAGtLGEvWXw7ALw3rWD2sE4KerR1r1GyjgBKQSQuIHdZ4c3PrifM40hsNwyPXwaYzXQeIO4g,challenger,1230,103,83,2026-07-02T10:45:35
M-TWawJhJGVjxxnwDBS9a23g6dQTwCJQOrhTtvgigcNAASS3YMQjEllLikaeRc1WPF-0rHIkpVgwgA,challenger,1224,164,120,2026-07-02T10:45:35
q_aArBr3G6KpEXYCwsZxrQMZQeJQpa1plnTrO6v_BRma2lTDE2oP29fWQFBOWuqwetGTyXt_k6Jd0g,challenger,1220,147,109,2026-07-02T10:45:35
xXrsKQoz7JX2tDuXUtNV4O7cUTDm-MU20oStKan-6f0UKR0q4-pxog3Zps2BMeIjAUP-X5W3oekh5g,challenger,1210,189,165,2026-07-02T10:45:35
yKcvyf2JGJ1ukq33u6RXn14sXKLuB1EOsSsveLZodDaf7S6alRUgIVLotplxAKdp5Eggi2W_WUkBRw,challenger,1202,119,90,2026-07-02T10:45:35
pLquJbepJj7cwcm735xfFro-BG-HVGLJF4o1RmKtdOZl_y0VLJYeDEj7o4NNq7iCZK8r9AFpkqzFog,challenger,1192,78,51,2026-07-02T10:45:35
yx0EV4DNHGxNvKr5NXv9iRlOUSflnpULM9dj6PUswYNqnxDCML0rj6SqZlgOj0ojjG8B5zcxW_fobA,challenger,1190,79,51,2026-07-02T10:45:35
0AMPc2PAsjw1wgzZE-w4m0aA61Q1I-nNb6ed4cxadYMSzmIBLNQ0AYyJVUq_hUhGg4Sd2c2QwFeDxg,challenger,1187,79,33,2026-07-02T10:45:35
EnTkEeTK281FWR_8asp2EvmbzIZjFrB6PLQyuhsJK4Mmt0JRY_bL0hrYARPo5Z1Sby6BovQgK-90QQ,challenger,1186,169,143,2026-07-02T10:45:35
oTv2_6aGyt5f3G3IPcl4h-zN4Sf4-svHioV9WH9wwS5j7BnyGcEBy6JBoG6lIbpck6jUOUxsmp7pXA,challenger,1186,140,105,2026-07-02T10:45:35
5StPLULKB6WEDoXk93P0vWNBpH3-T5WPt3McMhZmo5vt5hXQgTAz65jIj_aWMUZ-bDUvkHHoHqk2vw,challenger,1186,114,77,2026-07-02T10:45:35
13nNvElYP_pja-B8BIL7_bWycBWUN5H_FPLte9gbFTaHDgBtmGcOmAYdLAuWDbwGkt-QGejMi92eNw,challenger,1175,156,115,2026-07-02T10:45:35
jtamevkTj3wckn3vkC0NYJsUeqNlWI2OA2geSjdwY1y6Q3DPwfNfe7xOjgPWXDOfsilFZjQpcweyzw,challenger,1174,168,113,2026-07-02T10:45:35
k031wiJl3WiiKDFxD7hoV7yI5NHbc0CVsmLGSmdTXCyo4xbWdDwo1Ikt4sxLHRDhze7nXQzrL-A7tg,challenger,1172,77,45,2026-07-02T10:45:35
Ii2wNi0ZD7-IUr1RMrulA0DvY8xVQSyO5oKU3_IjGOal8k1S7bZNdVnCJUi3c3OoiMCqhnWIM_Y77A,challenger,1170,173,146,2026-07-02T10:45:35
